"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"216058_s_at",-3.98449193530491,6.17031424460606,-19.8972271038394,3.82812408552691e-49,2.09065340682881e-44,99.8051683696016,"CYP2C19","DOWN"
"207995_s_at",-3.6072562375377,4.26964749395455,-19.5041532925892,5.28632429007072e-48,1.44351014226816e-43,97.2830472128737,"CLEC4M","DOWN"
"210481_s_at",-2.81097478367213,4.05363591945455,-17.7967836379361,5.7266927059765e-43,1.04250622917165e-38,86.1172715643492,"CLEC4M","DOWN"
"1559065_a_at",-3.96071631949399,4.42194422160101,-15.3408412040286,1.55281643907697e-35,2.12009910468276e-31,69.5585547717153,"CLEC4G","DOWN"
"1559577_at",-2.0454568332,3.727419831,-15.1079400435769,8.01967134066951e-35,8.75956621855968e-31,67.9662366490189,"FCN2","DOWN"
"207804_s_at",-4.3885979007694,4.44726714643434,-14.9194426688424,3.03311801730108e-34,2.7607945713144e-30,66.6756330894103,"FCN2","DOWN"
"212554_at",3.5521598379683,8.17606132620707,14.8753487219228,4.14102202238048e-34,3.23076622440379e-30,66.3735122208485,"CAP2","UP"
"212551_at",3.4668569748459,8.78308577666667,14.3713678113586,1.4593003595945e-32,9.96209631731682e-29,62.9155017793633,"CAP2","UP"
"207330_at",-3.37124880318798,6.56298183388384,-14.0703798228466,1.2272878103772e-31,7.44731879868109e-28,60.8471455143038,"PZP","DOWN"
"220116_at",-4.28917294553443,4.29816906875758,-13.8892351171784,4.42215345902008e-31,2.41507066857464e-27,59.6016877017442,"KCNN2","DOWN"
"220496_at",-3.92547876474098,4.69350049336364,-13.8409436221821,6.22358542427939e-31,3.08989700705609e-27,59.26961275534,"CLEC1B","DOWN"
"1559573_at",-5.37510380899453,5.32599674468687,-13.3426457218645,2.11267771080853e-29,9.61497231836553e-26,55.8431683733707,"LINC01093","DOWN"
"220114_s_at",-1.87844819181749,4.70249876391414,-13.2551608564025,3.92099724454628e-29,1.64721094243389e-25,55.2418267138497,"STAB2","DOWN"
"222484_s_at",-4.45707000797924,5.0390598355404,-12.9980726664513,2.41023564791076e-28,9.40215710281075e-25,53.4756017292578,"CXCL14","DOWN"
"209365_s_at",-2.37063205171803,7.063086149,-12.89008399759,5.16455622408786e-28,1.88034606044074e-24,52.7342427909472,"ECM1","DOWN"
"1570228_at",-2.47962397513661,3.6837542620101,-12.5428053584614,5.96816213698255e-27,2.03712024241893e-23,50.3531161113781,"CFHR3","DOWN"
