,ProbeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,diffexpressed
1,216058_s_at,-3.984491935,6.170314245,-19.8972271,3.83E-49,2.09E-44,99.80516837,CYP2C19,DOWN
2,207995_s_at,-3.607256238,4.269647494,-19.50415329,5.29E-48,1.44E-43,97.28304721,CLEC4M,DOWN
3,210481_s_at,-2.810974784,4.053635919,-17.79678364,5.73E-43,1.04E-38,86.11727156,CLEC4M,DOWN
4,1559065_a_at,-3.960716319,4.421944222,-15.3408412,1.55E-35,2.12E-31,69.55855477,CLEC4G,DOWN
5,1559577_at,-2.045456833,3.727419831,-15.10794004,8.02E-35,8.76E-31,67.96623665,FCN2,DOWN
6,207804_s_at,-4.388597901,4.447267146,-14.91944267,3.03E-34,2.76E-30,66.67563309,FCN2,DOWN
7,212554_at,3.552159838,8.176061326,14.87534872,4.14E-34,3.23E-30,66.37351222,CAP2,UP
8,212551_at,3.466856975,8.783085777,14.37136781,1.46E-32,9.96E-29,62.91550178,CAP2,UP
9,207330_at,-3.371248803,6.562981834,-14.07037982,1.23E-31,7.45E-28,60.84714551,PZP,DOWN
10,220116_at,-4.289172946,4.298169069,-13.88923512,4.42E-31,2.42E-27,59.6016877,KCNN2,DOWN
11,220496_at,-3.925478765,4.693500493,-13.84094362,6.22E-31,3.09E-27,59.26961276,CLEC1B,DOWN
12,1559573_at,-5.375103809,5.325996745,-13.34264572,2.11E-29,9.61E-26,55.84316837,LINC01093,DOWN
13,220114_s_at,-1.878448192,4.702498764,-13.25516086,3.92E-29,1.65E-25,55.24182671,STAB2,DOWN
14,222484_s_at,-4.457070008,5.039059836,-12.99807267,2.41E-28,9.40E-25,53.47560173,CXCL14,DOWN
15,209365_s_at,-2.370632052,7.063086149,-12.890084,5.16E-28,1.88E-24,52.73424279,ECM1,DOWN
16,1570228_at,-2.479623975,3.683754262,-12.54280536,5.97E-27,2.04E-23,50.35311611,CFHR3,DOWN
17,210233_at,-4.114259081,6.845612564,-12.50001747,8.06E-27,2.59E-23,50.06012072,IL1RAP,DOWN
18,230425_at,-2.028968707,3.637396539,-12.49007785,8.65E-27,2.62E-23,49.99207155,EPHB1,DOWN
19,1553722_s_at,-1.462587854,4.243517696,-12.47768008,9.44E-27,2.71E-23,49.90720066,RNF152,DOWN
20,202768_at,-3.731095169,6.878764933,-12.46234585,1.05E-26,2.87E-23,49.80223916,FOSB,DOWN
21,1557225_at,-1.587249488,4.968923272,-12.38847029,1.77E-26,4.60E-23,49.29674988,ASPG,DOWN
22,243146_at,-2.691479805,3.996697366,-12.17916376,7.68E-26,1.91E-22,47.86637199,ADRA1A,DOWN
23,1557226_a_at,-1.547746059,6.411820862,-12.10463123,1.30E-25,3.08E-22,47.35772803,ASPG,DOWN
24,214349_at,-1.819843792,5.723110309,-12.00953723,2.52E-25,5.74E-22,46.70935247,NA,DOWN
25,218002_s_at,-3.690058795,4.587551808,-11.83624517,8.47E-25,1.85E-21,45.52964298,CXCL14,DOWN
26,236576_at,-1.794109537,3.80951027,-11.74210565,1.63E-24,3.43E-21,44.88985454,CTNNA3,DOWN
27,230478_at,-3.835627901,5.36965885,-11.52698419,7.31E-24,1.43E-20,43.43100294,OIT3,DOWN
28,204159_at,2.817547381,7.646214904,11.36912244,2.19E-23,3.98E-20,42.36351162,CDKN2C,UP
29,215712_s_at,-2.442872208,6.027142692,-11.37315136,2.13E-23,3.98E-20,42.39072154,IGFALS,DOWN
30,202963_at,2.268751956,8.099605489,11.30806335,3.34E-23,5.88E-20,41.95136806,RFX5,UP
31,218039_at,3.204325788,8.059010932,11.2024973,6.94E-23,1.18E-19,41.23985036,NUSAP1,UP
32,205984_at,-3.916306837,4.82726252,-11.09265633,1.48E-22,2.45E-19,40.50099035,CRHBP,DOWN
33,222077_s_at,3.126124961,7.515765565,11.06744278,1.76E-22,2.83E-19,40.33160819,RACGAP1,UP
34,205911_at,-1.041228421,5.913783258,-11.05959431,1.86E-22,2.90E-19,40.27890005,PTH1R,DOWN
35,223699_at,-4.834947424,5.740243391,-10.98773587,3.05E-22,4.63E-19,39.79670445,CNDP1,DOWN
36,211492_s_at,-1.307620408,3.884457654,-10.9186045,4.91E-22,7.25E-19,39.33347924,ADRA1A,DOWN
37,211489_at,-2.759149255,5.637333179,-10.91227371,5.13E-22,7.37E-19,39.29109247,ADRA1A,DOWN
38,201841_s_at,2.025311544,11.34569474,10.82394389,9.41E-22,1.32E-18,38.70029788,HSPB1,UP
